Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
CASTROL;6243;Моторное масло CASTROL EDGE With Titanium Fluid Strength Technology SAE 5W-30 (0,946л);0,946;Синтетическое;5W-30;SJ,SL,SM,SN;A1/B1,A5/B5;Ford WSS-M2C929-A,Ford WSS-M2C946-A;1;1
CASTROL;6460;Моторное масло CASTROL GTX High Mileage SAE 10W-40 Motor Oil (0,946л);0,946;Синтетическое;10W-40; SG,SH,SJ,SL,SM;;;1;1
CASTROL;6241;Моторное масло CASTROL EDGE With Titanium Fluid Strength Technology SAE 10W-30 (0,946л);0,946;Синтетическое;10W-30;SJ,SL,SM,SN;A1/B1,A5/B5;GM 6094M*;1;1
CASTROL;6240;Моторное масло CASTROL EDGE With Titanium Fluid Strength Technology SAE 0W-20 (0,946л);0,946;Синтетическое;0W-20;SM,SN;A1/B1;;1;1
CASTROL;151FF3;Моторное масло CASTROL Magnatec Professional A5 FORD SAE 5W-30 (1л);1;Синтетическое;5W-30;;;Ford WSS-M2C913-D;1;1
CASTROL;151A94;Моторное масло CASTROL Magnatec Professional E FORD SAE 5W-20 (1л);1;Синтетическое;5W-20;;;;1;1
CASTROL;4673420060;Моторное масло CASTROL EDGE Professional SAE 0W-30 ACEA C3 (1л);1;Синтетическое;0W-30;CF,SN;C2,C3;BMW Longlife-04,MB 229.31,MB 229.51,VW 502 00 / 505 00;1;1
CASTROL;4673300060;Моторное масло CASTROL EDGE Professional SAE 0W-30 ACEA A3 (1л);1;Синтетическое;0W-30;CF,SL;A3,B3,B4;BMW Longlife-01,MB 229.3,MB 229.5,VW 502 00 / 505 00;1;1
CASTROL;4673700060;Моторное масло CASTROL EDGE Professional OE SAE 5W-30 (1л);1;Синтетическое;5W-30;CF,SM;C3;BMW Longlife-04,Ford WSS-M2C 917-A,GM Dexos 2,MB 229.51,VW 502 00 / 505 00,VW 505 01;1;1
CASTROL;4674110060;Моторное масло CASTROL Magnatec Professional MP SAE 5W-30 (1л);1;Синтетическое;5W-30;CF,SN;A3,B3,B4,C3;BMW Longlife-04,MB 229.31,MB 229.51,VW 502 00 / 505 00;1;1
CASTROL;a-4673400060;Моторное масло CASTROL EDGE Professional BMW LL04 SAE 0W-30 (1л);1;Синтетическое;0W-30;CF,SM;C3;BMW Longlife-04;1;Мало
CASTROL;4673710060;Моторное масло CASTROL EDGE Professional BMW LL01 SAE 0W-30 (1л);1;Синтетическое;0W-30;CF,SL;A3,B3,B4;BMW Longlife-01;1;1
CASTROL;4673720060;Моторное масло CASTROL EDGE Professional BMW LL01 SAE 5W-30 (1л);1;Синтетическое;5W-30;CF,SL;A3,B3,B4;BMW Longlife-01;1;1
CHEVRON;223396721;Моторное масло CHEVRON Havoline Motor Oil SAE 10W-40 (0,946л);0,946;Полусинтетическое;10W-40;SJ,SM,SN;;;1;Мало
CHEVRON;223395721;Моторное масло CHEVRON Havoline Motor Oil SAE 10W-30 (0,946л);0,946;Полусинтетическое;10W-30;SJ,SL,SM,SN;;GM6094M;0;1
CHEVRON;220155721;Моторное масло CHEVRON Supreme Motor Oil SAE 10W-30 (0,946л);0,946;Синтетическое;10W-30;;;;1;1
CHEVRON;235101721;Моторное масло CHEVRON Delo 400 Multigrade SAE 15W-40 (0,946л);0,946;Минеральное;15W-40;CF,CG-4,CH-4,Cl-4,Cl-4+;E2,E3,E5,E7;Caterpillar EC-1,Cummins CES 20071,Cummins CES 20076,Cummins CES 20077,Cummins CES 20078,Mack EO N Plus,MAN 271,MAN 3275,MB 228.1,MB 228.3,Renault RLD,Volvo VDS-3,ZF TE-ML 04C,ZF TE-ML 07C;0;1
CHEVRON;;Моторное масло CHEVRON Supreme Synthetic Motor Oil SAE 5W-40 (0,946л);0,946;Синтетическое;5W-40;;;;0;1
CHEVRON;222220721;Моторное масло CHEVRON Delo 400 LE SAE 15W-40 (0,946л);0,946;Минеральное;15W-40; CF, SL, SM;  E7; Caterpillar TO-2;0;1
CHEVRON;220135721;Моторное масло CHEVRON Supreme Motor Oil SAE 5W-20 (0,946л);0,946;Синтетическое;5W-20;;;;0;1
CHEVRON;220013721;Моторное масло CHEVRON Supreme Motor Oil SAE 5W-30 (0,946л);0,946;Синтетическое;5W-30;;;;0;1
CHEVRON;220059721;Моторное масло CHEVRON Supreme Motor Oil SAE 10W-40 (0,946л) (220059719);0,946;Минеральное;10W-40;;;;0;1
KENDALL;1057222;Моторное масло KENDALL GT-1 Full Synthetic Motor Oil with Liquid Titanium SAE 0W-20 (0,946л);0,946;Синтетическое;0W-20;SN;;;0;1
KENDALL;1057228;Моторное масло KENDALL GT-1 Full Synthetic Motor Oil with Liquid Titanium SAE 5W-20 (0,946л);0,946;Синтетическое;5W-20;SN;; Ford WSS-M2C945-A,Chrysler MS-6395;0;1
KENDALL;1043532;Моторное масло для 2-Такт лод. мот. KENDALL GT-1 2-Cycle Lubricant TC-W3 (0,946л);0,946;Минеральное;;TC;;;0;1
